applicant_id,age,annual_income,loan_amount,loan_term_months,dti_ratio,employment_years,past_defaults_count,credit_lines_count,repayment_history_score,is_default
CLIENT-10088,38,46658.21,12251.64,24,51.39,2.9,0,1,50.8,0
CLIENT-10089,33,60367.02,10291.57,36,54.94,20.3,0,3,94.3,0
CLIENT-10090,62,40331.6,18851.28,24,46.62,9.5,1,1,79.9,0
CLIENT-10091,35,40086.43,6303.51,24,50.44,6.6,1,11,93.8,0
CLIENT-10092,64,28749.02,9946.34,36,24.95,11.0,1,10,59.3,0
CLIENT-10093,41,94328.9,1406.36,24,64.62,6.6,0,5,79.1,0
CLIENT-10094,43,18735.7,19737.05,36,20.07,11.7,0,1,91.0,0
CLIENT-10095,42,45044.77,12558.09,36,21.8,0.3,0,9,52.9,0
CLIENT-10096,62,20076.69,14201.02,48,25.89,3.0,0,7,74.9,0
CLIENT-10097,58,50054.47,4696.62,60,63.64,6.9,0,11,63.2,0
CLIENT-10098,46,19492.59,17652.69,24,64.36,4.4,0,8,64.1,0
CLIENT-10099,32,56743.1,42485.78,36,53.72,1.0,0,9,57.7,0
CLIENT-10100,62,38842.22,11737.7,36,44.6,2.1,0,10,76.4,0
CLIENT-10101,18,103443.77,21058.56,24,38.6,1.9,0,8,66.4,0
CLIENT-10102,42,30680.67,7263.12,48,63.38,1.5,0,3,56.1,0
CLIENT-10103,24,46862.81,12659.97,48,48.26,2.1,0,7,91.3,0
CLIENT-10104,26,22747.4,4573.63,36,61.96,3.6,0,7,70.8,0
CLIENT-10105,41,30554.41,23194.84,36,27.41,9.7,0,7,46.5,0
CLIENT-10106,18,38694.38,14941.36,12,28.36,6.8,1,8,59.7,0
CLIENT-10107,61,14525.6,5690.19,36,57.01,9.0,1,4,47.8,0
CLIENT-10108,25,15512.88,7621.26,48,18.24,10.8,0,11,60.6,0
CLIENT-10109,41,52047.68,13943.38,36,62.03,2.7,0,6,75.3,0
CLIENT-10110,28,33267.89,25506.93,24,37.91,2.1,0,2,79.3,0
CLIENT-10111,68,25444.22,37634.22,36,60.95,0.3,0,7,82.7,0
CLIENT-10112,34,23337.3,12162.49,36,28.52,13.3,1,9,60.6,1
CLIENT-10113,25,23882.63,5139.68,36,49.38,0.3,0,5,64.7,0
CLIENT-10114,52,38852.61,15786.74,36,36.56,6.8,0,4,76.6,0
CLIENT-10115,52,47430.54,46602.88,36,44.47,2.4,0,2,82.9,0
CLIENT-10116,50,10349.94,4290.15,48,37.74,14.9,0,7,67.9,0
CLIENT-10117,22,84770.29,6848.49,48,63.19,2.7,1,2,79.6,0
CLIENT-10118,59,81228.42,20489.65,12,48.07,8.5,0,2,61.6,0
CLIENT-10119,56,8969.7,14876.22,60,23.82,1.7,0,9,37.8,1
CLIENT-10120,58,69672.15,9122.38,36,60.03,1.8,0,2,83.6,0
CLIENT-10121,45,68400.22,15585.24,48,26.17,4.5,0,10,78.5,0
CLIENT-10122,24,36325.21,26483.62,48,30.44,31.0,0,3,68.5,0
CLIENT-10123,26,16675.55,12471.04,36,15.62,3.6,0,3,72.6,0
CLIENT-10124,25,66778.53,11728.71,48,59.5,13.8,1,2,87.3,0
CLIENT-10125,29,31421.93,20177.37,24,25.74,7.7,0,10,69.9,0
CLIENT-10126,51,50479.74,11055.02,24,24.24,7.9,0,3,26.6,0
CLIENT-10127,50,137519.47,29725.68,36,60.61,2.9,0,9,39.5,0
CLIENT-10128,65,42239.12,55199.97,48,54.3,2.4,2,11,90.1,0
CLIENT-10129,40,20949.48,7150.52,48,17.76,1.1,0,11,78.9,0
CLIENT-10130,41,29689.88,5569.06,36,52.31,16.6,0,11,87.0,0
CLIENT-10131,54,22614.19,17330.16,36,60.22,16.0,0,3,92.3,0
CLIENT-10132,52,47103.09,5432.46,36,14.32,6.9,0,5,91.4,0
CLIENT-10133,61,22389.77,5367.92,60,55.39,1.8,0,7,48.9,0
CLIENT-10134,57,27345.0,3182.93,36,40.11,1.4,0,1,67.0,0
CLIENT-10135,39,16803.49,10223.29,48,46.81,22.4,0,1,56.7,0
CLIENT-10136,44,33548.51,13054.74,36,37.11,0.3,2,10,72.4,1
CLIENT-10137,52,40378.51,9300.71,36,48.38,9.3,0,2,49.7,1
CLIENT-10138,18,7252.69,35356.35,36,11.88,2.2,3,1,70.6,1
CLIENT-10139,52,42435.65,33561.04,60,51.95,2.7,1,1,44.2,1
CLIENT-10140,54,35333.25,51543.98,36,11.83,8.9,1,10,64.8,0
CLIENT-10141,64,22948.43,13802.02,60,35.04,0.5,2,4,91.9,0
CLIENT-10142,31,122660.71,30597.49,12,18.3,2.2,1,10,59.8,0
CLIENT-10143,20,64542.93,16584.05,36,55.3,15.2,1,3,59.6,0
CLIENT-10144,18,18810.27,15457.78,48,27.25,6.0,0,1,71.9,0
CLIENT-10145,22,60050.56,9631.84,48,34.98,7.0,0,3,72.7,0
CLIENT-10146,43,76626.55,2740.23,60,33.58,7.1,2,1,74.7,1
CLIENT-10147,31,39309.15,20870.75,12,52.49,0.3,0,3,58.1,0
CLIENT-10148,56,45110.27,29968.3,12,36.46,1.1,0,4,61.0,0
CLIENT-10149,44,44489.48,4591.98,36,53.39,3.4,1,11,71.0,0
CLIENT-10150,26,10389.08,13269.33,12,14.04,2.3,0,11,84.8,0
CLIENT-10151,32,32463.71,26746.34,60,20.54,2.6,1,8,59.0,0
CLIENT-10152,32,31465.67,10387.42,24,40.33,7.6,0,3,67.0,1
CLIENT-10153,43,85655.9,30797.0,36,62.09,0.1,0,3,41.0,0
CLIENT-10154,59,44366.36,12110.18,12,14.11,5.4,0,9,63.5,0
CLIENT-10155,30,30376.77,9250.09,36,12.37,0.0,2,11,73.0,0
CLIENT-10156,68,34403.9,32054.76,36,18.61,0.3,0,9,83.1,0
CLIENT-10157,49,67106.18,6949.13,12,45.26,2.6,1,6,58.2,1
CLIENT-10158,56,32508.25,8043.08,36,31.94,9.2,0,10,72.6,0
CLIENT-10159,66,23886.83,7137.5,36,55.41,0.8,0,4,74.1,0
CLIENT-10160,69,30778.72,6004.01,60,13.96,4.0,0,10,43.1,0
CLIENT-10161,49,63858.03,14870.34,24,20.8,5.7,0,5,51.1,1
CLIENT-10162,21,48908.13,9329.58,36,26.5,1.3,0,9,77.5,0
CLIENT-10163,47,37292.99,18807.84,60,44.47,3.6,0,1,70.9,0
CLIENT-10164,54,40738.28,3966.95,48,47.68,12.1,0,7,71.4,0
CLIENT-10165,40,25955.91,6088.86,60,16.83,3.6,0,11,56.1,0
CLIENT-10166,56,32326.1,13850.9,60,61.91,0.9,1,7,48.3,0
CLIENT-10167,62,24392.17,37375.71,36,28.76,4.9,0,10,77.2,0
CLIENT-10168,32,30428.42,17412.64,36,49.22,4.5,0,1,72.5,0
CLIENT-10169,60,81446.93,8843.4,24,38.83,0.1,0,1,40.9,0
CLIENT-10170,46,19020.58,4709.46,36,22.25,0.5,2,9,68.5,0
CLIENT-10171,53,24023.06,8488.84,48,56.54,0.9,1,7,96.7,0
CLIENT-10172,30,17110.04,12968.27,36,55.0,0.7,1,4,79.0,1
CLIENT-10173,49,15024.76,2564.75,48,31.78,1.5,0,9,56.6,0
CLIENT-10174,24,32465.62,5713.81,48,42.37,3.0,1,5,72.5,0
CLIENT-10175,68,25070.18,7972.16,24,24.18,2.3,1,3,66.9,0
CLIENT-10176,39,104507.42,11156.91,48,47.94,11.1,2,2,94.7,0
CLIENT-10177,45,30647.06,12861.12,36,27.0,4.7,0,9,53.1,0
CLIENT-10178,19,78718.87,8711.44,24,56.42,10.4,2,4,89.5,0
CLIENT-10179,59,64913.05,19036.46,48,21.96,3.7,0,7,52.1,0
CLIENT-10180,62,32036.38,14578.38,36,10.81,0.5,0,1,75.0,1
CLIENT-10181,23,128808.41,10310.89,48,24.77,3.1,0,9,79.7,0
CLIENT-10182,45,42664.41,20965.69,36,20.51,8.6,0,9,87.3,0
CLIENT-10183,45,90021.66,19798.44,36,37.96,1.1,0,10,81.5,0
CLIENT-10184,61,83948.44,4828.74,48,21.2,0.5,0,6,47.1,0
CLIENT-10185,61,46573.58,13063.54,36,51.98,2.0,1,6,70.0,0
CLIENT-10186,37,56992.7,24913.93,36,23.28,2.5,0,6,77.7,0
CLIENT-10187,47,52809.31,28007.92,24,48.88,1.8,0,5,86.3,0
CLIENT-10188,28,18277.81,17320.33,48,41.82,0.7,0,11,53.0,1
CLIENT-10189,45,37585.52,11346.88,12,64.24,1.4,2,1,55.9,1
CLIENT-10190,42,69185.62,17942.43,48,64.99,5.7,0,4,48.0,0
CLIENT-10191,56,90736.21,23516.12,36,57.82,2.4,0,10,70.0,0
CLIENT-10192,50,23567.32,14488.09,36,51.8,5.0,1,1,74.1,1
CLIENT-10193,18,49876.18,15678.14,60,31.26,3.8,0,5,75.3,0
CLIENT-10194,44,39756.24,11216.46,24,51.43,4.0,0,4,66.0,1
CLIENT-10195,69,33835.83,5240.91,36,62.62,1.4,0,8,68.3,0
CLIENT-10196,30,44963.29,11824.69,48,11.29,3.7,0,1,68.4,0
CLIENT-10197,58,41390.16,8316.7,48,39.59,0.1,0,8,66.5,0
CLIENT-10198,20,50253.96,8335.3,36,21.99,2.8,0,8,42.5,0
CLIENT-10199,56,86252.13,36449.54,36,40.68,4.3,2,1,55.7,0
CLIENT-10200,23,58132.29,26006.2,48,35.65,1.0,0,9,78.1,0
CLIENT-10201,25,43754.72,4082.85,48,41.67,1.5,0,9,63.3,0
CLIENT-10202,44,111165.46,6251.55,48,40.3,1.2,3,6,62.5,0
CLIENT-10203,26,70682.82,10357.92,36,62.81,0.4,0,1,89.0,0
CLIENT-10204,54,34357.0,8531.82,60,40.37,2.1,0,7,86.1,0
CLIENT-10205,50,17496.0,16683.79,36,56.54,19.3,0,7,59.0,1
CLIENT-10206,68,20076.43,5594.23,12,27.59,2.2,0,9,92.4,0
CLIENT-10207,59,63572.7,26133.48,36,34.1,3.1,0,1,67.1,0
CLIENT-10208,61,24879.82,12954.47,24,35.87,5.3,2,8,82.0,0
CLIENT-10209,41,19834.27,10526.4,24,25.33,5.2,0,11,69.5,0
CLIENT-10210,32,23043.73,13226.48,24,30.89,15.0,0,8,60.4,0
CLIENT-10211,49,24042.28,9974.07,12,42.92,9.7,2,7,82.0,0
CLIENT-10212,49,60499.39,3224.55,36,41.91,7.9,3,6,56.5,1
CLIENT-10213,41,33055.88,13471.72,12,45.0,15.1,0,1,67.6,0
CLIENT-10214,58,15939.81,10673.05,24,29.35,1.3,1,11,70.0,1
CLIENT-10215,69,36998.29,6849.15,12,27.37,4.8,0,10,64.2,0
CLIENT-10216,66,41496.31,28802.02,12,43.64,10.9,0,11,49.6,0
CLIENT-10217,66,27238.8,21345.72,24,17.31,4.9,0,8,77.6,0
CLIENT-10218,69,72658.89,73658.86,36,23.92,19.0,0,5,83.8,0
CLIENT-10219,29,28210.14,23965.72,60,12.32,0.5,0,4,72.5,0
CLIENT-10220,56,70615.34,8515.09,48,13.99,2.9,0,5,58.6,0
CLIENT-10221,19,51951.7,7086.5,48,23.39,18.9,0,5,100.0,0
CLIENT-10222,20,63320.43,9452.04,24,11.07,2.4,0,10,66.5,0
CLIENT-10223,66,18786.04,8377.96,24,23.5,6.7,0,3,66.3,0
CLIENT-10224,54,38522.05,14416.78,12,46.02,0.2,3,4,26.1,1
CLIENT-10225,66,35182.47,4549.81,48,13.36,5.9,0,4,51.4,0
CLIENT-10226,34,15472.14,21017.29,12,34.02,13.6,0,8,87.4,0
CLIENT-10227,66,70476.63,14240.39,36,60.22,2.4,2,5,100.0,1
CLIENT-10228,19,22238.04,19394.12,24,53.52,0.1,0,6,89.3,0
CLIENT-10229,19,25191.43,5997.5,24,26.8,0.1,0,10,54.4,0
CLIENT-10230,45,19771.77,15877.88,60,60.86,11.1,0,2,77.1,0
CLIENT-10231,40,55310.15,33170.75,48,28.13,6.4,0,9,64.2,0
CLIENT-10232,54,14536.85,7314.73,48,13.99,0.6,1,8,64.6,1
CLIENT-10233,49,52613.33,7176.03,36,64.67,0.3,2,8,50.5,1
CLIENT-10234,50,67962.3,21990.6,48,57.85,8.2,0,10,77.8,0
CLIENT-10235,18,50126.6,6779.54,36,35.63,8.3,0,5,51.0,0
CLIENT-10236,36,55691.18,11346.92,60,46.65,0.6,0,5,35.5,0
CLIENT-10237,19,57281.21,37534.39,24,46.92,1.8,0,3,63.9,0
CLIENT-10238,61,20544.44,7247.64,36,20.7,7.6,1,11,31.6,0
CLIENT-10239,43,85891.57,39383.79,36,21.0,3.7,0,2,57.9,0
CLIENT-10240,49,27555.41,10561.31,36,35.83,15.7,0,9,79.0,0
CLIENT-10241,23,34897.39,6094.6,48,60.14,3.3,1,6,87.0,0
CLIENT-10242,49,29745.04,20385.78,60,10.55,5.6,0,8,79.6,0
CLIENT-10243,21,48772.66,14406.34,36,53.04,3.6,3,4,66.5,0
CLIENT-10244,28,26296.15,13483.56,36,13.16,14.3,0,5,61.8,0
CLIENT-10245,34,37803.22,7800.14,36,36.3,2.5,0,10,56.1,0
CLIENT-10246,55,17305.74,14332.96,48,45.08,1.3,0,5,92.3,0
CLIENT-10247,41,73042.67,3142.14,36,47.77,2.0,0,11,51.1,0
CLIENT-10248,22,54308.96,15570.53,12,13.22,9.6,1,10,71.9,1
CLIENT-10249,69,30474.46,33126.02,36,33.02,3.4,0,4,78.9,0
CLIENT-10250,51,27405.82,3882.37,12,42.11,2.2,2,11,40.2,0
CLIENT-10251,23,53464.7,10049.29,48,13.63,3.9,0,2,33.8,0
CLIENT-10252,39,23756.8,7242.72,36,17.43,0.7,2,6,78.9,0
CLIENT-10253,28,39152.49,4639.04,36,46.5,0.0,3,4,48.2,0
CLIENT-10254,65,72899.66,3174.76,48,38.69,1.6,0,11,74.6,0
CLIENT-10255,33,22320.16,5845.43,12,18.9,4.6,0,4,56.9,0
CLIENT-10256,50,45304.45,11274.92,24,39.44,6.2,1,10,74.0,1
CLIENT-10257,26,43889.71,29863.61,36,60.2,8.8,0,3,76.0,0
CLIENT-10258,23,34255.35,4601.33,24,10.86,13.1,1,8,85.1,0
CLIENT-10259,33,26842.08,16417.04,36,45.34,2.7,0,6,76.6,0
CLIENT-10260,46,75273.11,15580.09,60,14.05,6.7,0,9,73.4,0
CLIENT-10261,20,25373.45,43061.05,48,10.35,0.4,0,5,96.1,0
CLIENT-10262,37,12243.82,19924.83,48,18.29,0.3,1,6,55.3,1
CLIENT-10263,53,53333.51,20744.15,60,33.26,0.7,0,9,70.8,0
CLIENT-10264,36,17662.83,21796.62,36,54.13,3.0,1,4,83.7,1
CLIENT-10265,43,55002.21,6995.61,24,25.5,1.2,0,10,30.1,0
CLIENT-10266,20,80897.8,8946.56,24,44.41,1.7,0,7,92.9,0
CLIENT-10267,36,52989.55,29196.6,48,32.61,5.2,2,10,67.5,1
CLIENT-10268,37,69068.0,3179.38,36,22.89,2.2,1,10,76.4,0
CLIENT-10269,49,122030.89,8286.49,24,38.28,4.1,3,11,62.6,1
CLIENT-10270,24,64864.53,5262.88,36,53.86,2.7,0,11,76.6,0
CLIENT-10271,69,44282.46,15740.16,36,55.79,0.9,0,6,74.0,0
CLIENT-10272,58,96796.77,9945.49,36,56.56,0.4,0,6,53.1,0
CLIENT-10273,50,104074.82,20706.01,48,28.62,1.3,0,6,63.4,0
CLIENT-10274,57,104952.49,12378.34,36,53.64,0.3,0,4,77.5,0
CLIENT-10275,56,27030.3,4526.64,60,21.67,4.8,0,10,92.1,0
CLIENT-10276,35,16116.34,4675.51,36,50.61,7.9,2,6,64.4,0
CLIENT-10277,57,26058.12,13303.28,48,62.16,2.1,0,7,50.6,0
CLIENT-10278,18,55391.7,7786.96,60,10.76,2.4,2,2,75.3,0
CLIENT-10279,28,39954.45,9201.82,60,34.22,8.5,0,11,65.5,0
CLIENT-10280,45,32083.96,25768.05,12,45.63,1.3,3,9,82.0,1
CLIENT-10281,42,50832.38,22727.32,24,48.6,0.6,0,7,58.8,0
CLIENT-10282,67,15025.69,47024.01,36,19.68,3.5,1,3,49.6,1
CLIENT-10283,40,39525.51,10706.06,36,63.47,5.2,0,10,93.5,0
CLIENT-10284,48,71045.41,8528.74,36,43.84,4.6,2,10,62.9,0
CLIENT-10285,47,50492.97,17903.16,60,19.04,6.3,0,7,56.4,0
CLIENT-10286,59,54999.86,9022.2,24,11.13,0.3,0,10,59.7,0
CLIENT-10287,52,94695.68,9231.32,36,53.08,2.8,0,10,91.2,0
CLIENT-10288,24,34902.51,11597.31,24,14.38,1.4,0,5,100.0,0
CLIENT-10289,33,24542.09,42485.76,48,17.76,7.1,1,9,58.2,0
CLIENT-10290,43,74139.89,21867.92,60,41.62,10.3,0,6,67.1,0
CLIENT-10291,65,73326.14,23533.36,36,43.19,1.7,0,11,74.8,0
CLIENT-10292,69,50765.64,41171.36,24,47.78,0.5,0,7,42.1,0
CLIENT-10293,66,32983.98,25128.88,48,31.64,1.5,2,4,62.3,0
CLIENT-10294,19,36345.58,6051.23,36,52.56,0.5,3,2,98.4,1
CLIENT-10295,18,16880.87,24863.79,36,63.59,1.9,0,11,65.1,1
CLIENT-10296,65,70810.88,27172.98,48,24.91,3.9,0,4,89.0,0
CLIENT-10297,29,69327.07,21084.75,60,48.67,18.2,0,9,69.0,0
CLIENT-10298,22,16530.96,11651.51,36,61.07,2.5,0,3,38.1,1
CLIENT-10299,54,61119.07,19583.3,36,47.75,1.2,0,7,84.9,0
CLIENT-10300,49,46279.81,13171.78,24,47.46,0.9,0,4,64.8,0
CLIENT-10301,26,19669.32,6736.79,36,22.31,0.9,0,3,91.5,0
CLIENT-10302,58,17613.13,8016.49,36,39.43,1.1,0,5,73.0,0
CLIENT-10303,52,45437.63,21864.2,36,40.94,7.2,0,2,70.1,0
CLIENT-10304,36,28606.16,7086.35,12,48.51,0.3,0,11,77.1,0
CLIENT-10305,65,108225.18,7569.73,24,64.83,29.8,0,10,75.7,0
CLIENT-10306,33,64315.7,22637.64,24,11.85,3.7,0,4,44.0,0
CLIENT-10307,20,48253.13,14671.36,36,13.59,3.9,0,7,85.9,0
CLIENT-10308,37,49704.33,20010.96,36,14.29,2.2,0,2,69.5,0
CLIENT-10309,41,80702.13,5651.56,36,50.86,5.9,1,10,70.4,0
CLIENT-10310,50,60349.68,19625.81,36,17.5,3.2,0,6,76.3,0
CLIENT-10311,41,49013.93,8416.76,36,44.23,2.0,1,5,83.6,0
CLIENT-10312,69,20167.81,6556.3,48,27.86,1.5,0,3,85.8,0
CLIENT-10313,28,228015.34,9379.28,36,35.15,13.0,0,5,80.0,0
CLIENT-10314,66,18733.91,34663.6,60,21.86,1.7,0,10,43.8,0
CLIENT-10315,25,30105.84,10351.45,36,57.64,2.9,0,7,68.9,0
CLIENT-10316,53,13455.77,62378.35,36,42.24,2.2,0,3,56.0,0
CLIENT-10317,55,50175.34,3154.15,12,61.95,0.5,0,8,72.7,0
CLIENT-10318,57,39761.97,4526.05,36,41.6,1.0,3,7,67.0,0
CLIENT-10319,37,57478.48,33756.55,48,16.81,1.1,0,4,100.0,0
CLIENT-10320,52,12791.81,40252.33,60,19.4,5.9,0,5,49.6,0
CLIENT-10321,65,70809.14,7299.64,60,64.4,2.6,0,10,70.2,1
CLIENT-10322,42,22371.4,14019.79,24,49.91,7.6,0,11,71.7,0
CLIENT-10323,52,33209.69,21994.18,36,12.71,6.2,0,4,63.0,0
CLIENT-10324,42,63509.37,11378.0,36,48.71,1.1,0,2,69.7,0
CLIENT-10325,46,42478.78,14837.41,36,32.67,4.1,1,9,100.0,0
CLIENT-10326,35,44318.86,13462.36,24,26.9,6.8,0,1,75.4,0
CLIENT-10327,63,58659.65,4736.18,48,18.47,5.0,0,8,92.7,0
CLIENT-10328,35,46970.47,10495.87,60,56.19,4.6,0,4,63.0,0
CLIENT-10329,19,29594.25,13475.86,36,13.51,6.7,0,9,81.6,0
CLIENT-10330,52,32863.52,14359.76,24,25.94,0.3,0,3,57.8,0
CLIENT-10331,33,41238.49,3978.44,24,26.85,6.6,1,7,56.9,0
CLIENT-10332,58,21219.3,22642.54,36,18.85,1.6,0,3,43.3,0
CLIENT-10333,53,66012.88,14627.31,36,37.95,4.2,1,10,54.0,0
CLIENT-10334,50,43182.58,6381.95,60,10.64,1.4,3,7,70.8,1
CLIENT-10335,21,37981.93,47067.83,36,26.55,9.1,0,2,93.2,0
CLIENT-10336,50,74272.64,10481.75,36,61.35,3.3,0,3,68.3,0
CLIENT-10337,31,33790.39,10969.2,36,27.08,5.1,0,8,73.5,0
