transaction_id,amount_usd,distance_from_home_km,transaction_hour,is_new_device,velocity_txn_per_min,failed_pin_attempts,is_foreign_country,is_fraud
TXN-100215,60.04,3.2,20,1,1,0,0,0
TXN-100216,33.98,1.0,19,0,2,0,0,0
TXN-100217,80.01,3.6,6,0,2,0,0,0
TXN-100218,57.48,0.3,14,0,1,0,1,0
TXN-100219,6.43,4.6,9,0,2,0,0,0
TXN-100220,279.65,8.9,20,0,1,1,0,0
TXN-100221,77.83,0.2,8,0,1,0,0,0
TXN-100222,17.63,11.7,17,0,1,0,0,0
TXN-100223,76.48,0.6,22,0,1,0,0,0
TXN-100224,18.98,17.9,8,0,1,0,0,0
TXN-100225,228.98,7.1,9,0,1,0,0,0
TXN-100226,111.26,12.5,20,0,2,0,0,0
TXN-100227,36.09,0.2,16,0,1,0,0,0
TXN-100228,18.98,11.1,7,0,1,0,0,0
TXN-100229,112.03,3.5,14,0,1,0,0,0
TXN-100230,326.41,0.1,12,0,1,0,0,0
TXN-100231,161.8,2.8,21,0,1,1,0,0
TXN-100232,41.66,7.2,11,0,1,0,0,0
TXN-100233,57.57,3.2,22,0,1,0,0,0
TXN-100234,81.49,4.7,12,0,1,0,0,0
TXN-100235,43.15,11.6,10,0,1,0,0,0
TXN-100236,27.3,15.8,15,0,1,0,0,0
TXN-100237,29.82,4.9,10,1,1,0,0,0
TXN-100238,66.92,0.1,10,0,1,0,0,0
TXN-100239,60.37,1.5,22,0,1,0,0,0
TXN-100240,119.58,2.0,22,0,2,0,0,0
TXN-100241,99.21,3.2,18,0,1,0,0,0
TXN-100242,24.9,9.1,12,1,1,0,0,0
TXN-100243,60.29,6.3,14,0,1,0,0,0
TXN-100244,155.74,0.4,18,0,2,0,0,0
TXN-100245,17.94,2.3,14,0,1,0,0,0
TXN-100246,18.21,0.2,10,0,1,0,0,0
TXN-100247,45.47,5.9,7,0,1,0,1,0
TXN-100248,61.03,9.2,16,0,1,0,0,0
TXN-100249,90.54,4.5,20,0,1,0,0,0
TXN-100250,9.99,4.2,12,0,1,0,0,0
TXN-100251,35.02,5.9,10,0,1,0,0,0
TXN-100252,21.36,6.1,7,1,1,0,0,0
TXN-100253,78.42,1.8,18,0,1,0,0,0
TXN-100254,43.01,3.1,16,1,1,0,0,0
TXN-100255,15.16,0.5,14,0,1,0,0,0
TXN-100256,28.57,11.9,13,0,1,0,0,0
TXN-100257,216.56,10.7,20,0,1,0,0,0
TXN-100258,84.82,2.4,13,0,1,0,0,0
TXN-100259,160.56,0.7,11,0,1,0,0,0
TXN-100260,44.0,3.6,16,0,1,0,0,0
TXN-100261,26.64,4.5,18,0,1,0,0,0
TXN-100262,31.97,0.4,10,0,1,0,0,0
TXN-100263,83.32,7.1,9,0,1,0,0,0
TXN-100264,46.1,1.5,10,0,1,1,0,0
TXN-100265,55.21,10.9,12,0,2,0,0,0
TXN-100266,41.87,6.9,8,0,1,0,0,0
TXN-100267,14.4,11.4,13,0,1,0,0,0
TXN-100268,75.93,1.3,20,0,1,0,0,0
TXN-100269,36.88,2.6,13,1,1,0,0,0
TXN-100270,14.94,9.6,12,0,1,0,0,0
TXN-100271,39.23,10.4,14,0,1,0,0,0
TXN-100272,125.44,6.8,12,0,1,0,0,0
TXN-100273,103.88,1.7,21,0,1,0,0,0
TXN-100274,57.23,2.1,21,0,1,0,0,0
TXN-100275,66.26,20.0,20,1,1,0,0,0
TXN-100276,24.87,0.3,11,0,1,0,0,0
TXN-100277,8.1,7.7,9,0,1,0,0,0
TXN-100278,109.72,6.5,12,0,1,0,0,0
TXN-100279,40.36,9.6,15,0,1,0,0,0
TXN-100280,51.82,7.4,21,0,1,0,0,0
TXN-100281,88.46,4.4,13,0,1,0,0,0
TXN-100282,34.78,4.8,6,0,1,0,0,0
TXN-100283,66.59,4.3,6,0,1,0,0,0
TXN-100284,32.63,0.9,21,0,1,0,0,0
TXN-100285,47.76,1.7,6,0,1,1,0,0
TXN-100286,4.29,0.1,6,1,2,0,0,0
TXN-100287,38.55,0.4,18,0,1,0,0,0
TXN-100288,44.95,10.3,12,0,1,0,0,0
TXN-100289,65.29,3.1,15,0,1,0,0,0
TXN-100290,45.58,0.7,16,0,2,0,0,0
TXN-100291,44.36,0.1,21,0,1,0,0,0
TXN-100292,279.93,775.3,4,0,5,2,1,1
TXN-100293,47.25,1.9,9,0,1,0,0,0
TXN-100294,98.7,2.1,11,0,1,0,0,0
TXN-100295,314.76,4.8,6,0,1,0,0,0
TXN-100296,69.49,2.1,22,1,1,0,0,0
TXN-100297,17.56,4.8,15,0,1,0,0,0
TXN-100298,32.16,4.1,16,0,1,0,0,0
TXN-100299,107.27,10.0,8,0,2,0,0,0
TXN-100300,111.23,2.5,7,0,2,0,0,0
TXN-100301,68.72,4.5,15,0,2,0,0,0
TXN-100302,53.26,7.1,10,0,1,0,0,0
TXN-100303,68.48,2.2,11,0,2,1,0,0
TXN-100304,13.71,0.4,7,0,1,0,0,0
TXN-100305,27.42,5.1,20,0,1,0,0,0
TXN-100306,963.01,64.9,2,1,3,1,0,1
TXN-100307,171.94,4.1,9,0,1,0,0,0
TXN-100308,59.82,3.7,14,0,1,0,1,0
TXN-100309,61.19,8.9,10,0,1,0,0,0
TXN-100310,486.97,1.4,8,0,2,0,0,0
TXN-100311,76.43,1.2,12,0,1,1,0,0
TXN-100312,17.87,6.2,14,1,1,0,0,0
TXN-100313,43.48,5.4,15,0,1,0,0,0
TXN-100314,104.39,0.3,20,0,1,0,0,0
TXN-100315,32.38,16.2,17,0,1,0,0,0
TXN-100316,107.07,13.7,15,0,1,0,0,0
TXN-100317,179.66,1.2,10,0,1,0,0,0
TXN-100318,40.01,3.9,17,0,1,0,0,0
TXN-100319,56.85,19.4,21,0,1,0,0,0
TXN-100320,27.08,0.3,15,0,1,0,0,0
TXN-100321,103.51,9.0,22,0,1,0,0,0
TXN-100322,52.27,5.7,7,0,1,1,0,0
TXN-100323,10.33,2.5,21,0,1,0,0,0
TXN-100324,358.29,1.4,7,0,1,0,0,0
TXN-100325,136.12,3.8,19,0,1,0,0,0
TXN-100326,46.64,2.9,12,1,1,0,0,0
TXN-100327,139.73,4.6,7,0,1,0,1,0
TXN-100328,6.82,1.9,19,0,1,0,0,0
TXN-100329,25.2,2.0,17,0,1,1,0,0
TXN-100330,67.83,0.4,15,0,1,0,0,0
TXN-100331,10.84,7.2,16,0,1,0,0,0
TXN-100332,42.07,10.6,10,0,1,0,0,0
TXN-100333,29.44,3.9,11,0,1,0,0,0
TXN-100334,88.3,3.2,19,0,1,0,0,0
TXN-100335,23.47,1.0,15,1,1,0,0,0
TXN-100336,43.77,1.0,20,0,1,0,0,0
TXN-100337,11.56,26.0,18,0,2,0,0,0
TXN-100338,110.89,4.9,9,0,1,0,0,0
TXN-100339,17.42,0.6,12,0,1,0,0,0
TXN-100340,153.58,2.1,10,0,2,0,0,0
TXN-100341,53.08,1.6,17,0,1,0,0,0
TXN-100342,131.95,13.5,19,0,1,0,0,0
TXN-100343,89.57,0.6,21,0,2,0,0,0
TXN-100344,23.37,0.2,17,0,1,0,0,0
TXN-100345,10.21,0.9,8,0,1,0,0,0
TXN-100346,95.98,4.7,19,1,1,0,0,0
TXN-100347,33.48,22.1,22,0,1,0,0,0
TXN-100348,90.55,4.8,9,0,2,0,0,0
TXN-100349,109.47,5.2,14,0,1,1,0,0
TXN-100350,30.43,4.8,14,0,2,0,0,0
TXN-100351,25.57,6.9,12,0,2,0,0,0
TXN-100352,29.31,3.3,10,0,2,0,0,0
TXN-100353,15.47,11.1,16,0,1,0,0,0
TXN-100354,17.4,0.9,10,0,1,0,0,0
TXN-100355,5.8,0.5,16,0,1,0,0,0
TXN-100356,41.1,4.0,8,0,2,0,0,0
TXN-100357,32.25,1.4,18,0,1,0,0,0
TXN-100358,55.19,0.3,22,1,1,0,0,0
TXN-100359,71.34,0.2,15,0,1,0,0,0
TXN-100360,45.89,2.1,12,0,1,0,0,0
TXN-100361,27.04,2.5,18,1,1,0,0,0
TXN-100362,53.85,2.8,11,0,1,0,0,0
TXN-100363,164.63,11.0,16,0,1,0,0,0
TXN-100364,128.55,3.9,10,0,1,0,0,0
TXN-100365,49.53,8.6,16,0,2,0,0,0
TXN-100366,105.95,1.9,10,1,1,0,0,0
TXN-100367,86.18,8.7,17,0,2,0,0,0
TXN-100368,51.27,1.3,8,0,1,0,0,0
TXN-100369,48.08,6.9,14,0,1,0,0,0
TXN-100370,48.65,19.2,20,0,1,0,0,0
TXN-100371,91.62,0.1,21,0,1,0,0,0
TXN-100372,34.31,1.8,14,1,1,0,0,0
TXN-100373,32.11,9.4,7,0,1,0,0,0
TXN-100374,9.49,5.4,17,0,1,0,0,0
TXN-100375,8.85,12.2,13,0,1,0,0,0
TXN-100376,73.23,0.6,15,0,1,0,0,0
TXN-100377,24.42,2.6,17,0,1,0,0,0
TXN-100378,17.3,23.8,22,0,1,0,0,0
TXN-100379,4370.18,588.1,23,1,4,1,1,1
TXN-100380,29.67,5.1,18,0,2,0,0,0
TXN-100381,39.48,4.7,17,0,2,0,0,0
TXN-100382,20.67,6.4,10,0,1,0,0,0
TXN-100383,3507.75,61.2,1,1,5,3,0,1
TXN-100384,181.74,3.3,7,0,1,0,0,0
TXN-100385,123.91,10.0,22,0,1,0,0,0
TXN-100386,112.06,5.9,20,0,1,0,0,0
TXN-100387,10.8,1.8,11,0,1,0,0,0
TXN-100388,45.77,12.3,14,0,1,0,0,0
TXN-100389,37.21,5.4,7,0,1,0,0,0
TXN-100390,66.26,2.8,13,0,1,0,0,0
TXN-100391,28.84,13.2,13,0,1,1,1,0
TXN-100392,48.56,17.9,19,0,1,0,0,0
TXN-100393,50.41,16.0,20,0,1,0,0,0
TXN-100394,50.94,2.0,15,0,1,0,0,0
TXN-100395,30.03,1.9,15,0,1,1,0,0
TXN-100396,135.94,8.3,10,0,1,0,0,0
TXN-100397,109.87,2.1,6,0,1,0,0,0
TXN-100398,181.97,5.3,22,0,1,0,0,0
TXN-100399,58.06,2.4,10,1,1,0,0,0
TXN-100400,33.89,3.2,20,0,1,0,0,0
TXN-100401,24.08,1.6,9,0,1,1,0,0
TXN-100402,47.09,1.6,18,0,1,0,0,0
TXN-100403,26.66,5.8,11,0,1,0,0,0
TXN-100404,111.29,4.9,7,0,1,0,0,0
TXN-100405,12.8,2.6,14,0,2,0,0,0
TXN-100406,26.84,17.9,18,0,1,0,0,0
TXN-100407,37.46,0.2,21,0,2,0,0,0
TXN-100408,43.92,7.5,19,0,1,0,0,0
TXN-100409,66.52,5.2,19,0,1,0,0,0
TXN-100410,25.21,2.5,11,0,1,0,1,0
TXN-100411,20.28,0.5,19,0,2,0,0,0
TXN-100412,6.08,1.7,18,0,1,0,0,0
TXN-100413,20.9,9.6,20,0,1,0,0,0
TXN-100414,22.84,0.3,15,0,1,0,0,0
TXN-100415,15.56,2.4,18,0,1,0,0,0
TXN-100416,28.43,3.3,10,0,1,1,0,0
TXN-100417,29.05,8.0,13,0,1,0,0,0
TXN-100418,24.97,5.6,21,0,1,0,0,0
TXN-100419,170.49,4.7,7,0,1,0,0,0
TXN-100420,100.08,0.1,16,0,1,0,0,0
TXN-100421,41.91,1.5,7,0,1,0,0,0
TXN-100422,18.66,4.5,17,0,2,0,0,0
TXN-100423,23.86,11.6,10,0,1,0,0,0
TXN-100424,34.67,4.4,6,0,1,0,0,0
TXN-100425,77.44,11.7,22,0,1,0,0,0
TXN-100426,29.55,1.3,8,0,1,0,0,0
TXN-100427,35.48,3.3,21,0,1,0,0,0
TXN-100428,54.52,1.9,15,0,1,0,0,0
TXN-100429,38.23,2.5,22,0,1,0,0,0
TXN-100430,24.42,1.8,10,0,1,0,0,0
TXN-100431,66.35,1.1,21,0,1,0,0,0
TXN-100432,23.52,3.6,21,0,1,0,0,0
TXN-100433,51.62,6.6,13,0,1,0,0,0
TXN-100434,74.45,4.8,17,0,1,0,0,0
TXN-100435,13.79,1.4,14,0,1,0,0,0
TXN-100436,15.11,5.8,18,0,1,0,0,0
TXN-100437,251.1,2.8,17,0,1,0,0,0
TXN-100438,32.82,9.5,10,0,1,0,0,0
TXN-100439,113.01,10.2,17,0,1,0,0,0
TXN-100440,63.99,10.4,21,0,1,0,0,0
TXN-100441,51.29,0.2,15,0,1,0,0,0
TXN-100442,36.69,4.7,10,0,1,0,0,0
TXN-100443,57.93,3.7,14,0,1,0,0,0
TXN-100444,15.25,3.0,13,0,2,1,0,0
TXN-100445,44.81,3.2,15,0,2,0,0,0
TXN-100446,40.49,1.0,13,0,1,0,0,0
TXN-100447,61.67,1.4,18,0,1,0,0,0
TXN-100448,340.87,2.3,13,0,1,0,0,0
TXN-100449,189.76,0.6,11,0,1,0,1,0
TXN-100450,87.07,2.2,10,0,1,0,0,0
TXN-100451,47.64,3.7,9,0,1,0,0,0
TXN-100452,31.71,7.1,14,0,2,0,0,0
TXN-100453,8.85,7.9,12,0,2,0,0,0
TXN-100454,67.88,11.6,9,0,1,0,0,0
TXN-100455,38.53,5.0,6,0,1,0,0,0
TXN-100456,97.52,0.2,7,0,1,0,0,0
TXN-100457,180.81,97.1,23,1,6,1,0,1
TXN-100458,45.59,4.8,22,0,1,0,0,0
TXN-100459,152.59,209.7,3,1,5,0,0,1
TXN-100460,96.07,4.1,14,0,1,0,0,0
TXN-100461,43.05,10.2,10,0,1,0,0,0
TXN-100462,287.07,0.4,18,0,1,0,0,0
TXN-100463,52.76,2.7,17,0,1,0,0,0
TXN-100464,17.41,5.5,21,0,1,0,0,0
TXN-100465,36.3,3.1,22,0,1,0,0,0
TXN-100466,15.9,7.5,6,0,1,0,0,0
TXN-100467,16.77,10.4,14,0,1,0,0,0
TXN-100468,3526.0,141.5,1,1,4,1,1,1
TXN-100469,20.47,0.2,11,0,2,0,0,0
TXN-100470,28.91,4.0,22,0,1,0,0,0
TXN-100471,5.12,3.9,10,0,1,0,0,0
TXN-100472,164.5,2.9,18,0,1,0,0,0
TXN-100473,26.58,4.5,11,0,1,0,1,0
TXN-100474,20.52,1.4,15,0,1,0,0,0
TXN-100475,32.67,0.1,18,0,1,0,0,0
TXN-100476,26.41,0.6,22,0,1,0,0,0
TXN-100477,43.48,0.8,20,0,1,0,0,0
TXN-100478,834.94,80.5,0,1,5,2,1,1
TXN-100479,45.72,2.7,13,0,1,0,0,0
TXN-100480,14.37,9.1,10,0,1,0,0,0
TXN-100481,66.31,4.4,7,0,1,0,0,0
TXN-100482,17.56,1.9,19,0,1,0,0,0
TXN-100483,38.86,0.3,13,0,1,0,0,0
TXN-100484,22.61,14.5,8,0,1,0,0,0
TXN-100485,34.74,0.7,14,0,1,0,0,0
TXN-100486,127.92,4.9,12,0,1,0,0,0
TXN-100487,22.32,2.2,6,0,1,0,0,0
TXN-100488,24.99,6.8,10,0,1,0,0,0
TXN-100489,146.91,1.7,14,0,1,0,0,0
TXN-100490,35.24,1.0,17,0,2,0,0,0
TXN-100491,16.26,1.8,20,0,1,0,0,0
TXN-100492,325.78,140.9,1,1,5,2,0,1
TXN-100493,91.2,3.4,6,0,1,0,0,0
TXN-100494,60.56,3.4,8,0,1,0,1,0
TXN-100495,39.67,1.9,22,0,1,0,0,0
TXN-100496,21.13,2.7,8,0,1,0,0,0
TXN-100497,35.37,2.4,16,0,1,0,0,0
TXN-100498,41.42,10.5,17,0,1,0,0,0
TXN-100499,15.2,2.6,18,0,1,0,0,0
TXN-100500,15.78,4.5,17,0,1,0,0,0
TXN-100501,105.2,4.7,9,0,1,0,0,0
TXN-100502,68.73,1.1,15,0,1,0,0,0
TXN-100503,65.68,2.0,7,0,1,0,0,0
TXN-100504,146.54,2.0,19,0,1,0,1,0
TXN-100505,90.93,0.4,12,0,1,0,0,0
TXN-100506,22.85,2.2,20,0,1,0,0,0
TXN-100507,22.72,11.1,10,1,1,0,0,0
TXN-100508,57.19,3.8,20,0,1,0,0,0
TXN-100509,43.89,6.3,12,0,1,0,0,0
TXN-100510,22.5,10.4,9,0,1,0,0,0
TXN-100511,19.45,26.7,22,0,1,0,0,0
TXN-100512,32.38,2.3,15,0,2,0,0,0
